date,status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,qty,amount,ship_state,b2b,fulfilled_by
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,set285,set285_kr_sha_s,set,s,1,499.0,andhra_pradesh,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,jne3567,jne3567_kr_xl,kurta,xl,1,399.0,west_bengal,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3639,jne3639_tp_n_xxl,top,xxl,1,518.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0176,j0176_tp_xxl,top,xxl,1,387.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3691,jne3691_tu_s,top,s,1,665.0,delhi,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3673,jne3673_tu_l,top,l,1,599.0,delhi,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,set265,set265_kr_np_s,set,s,1,888.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3423,jne3423_kr_m,kurta,m,1,399.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne1977,jne1977_kr_237_l,kurta,l,1,259.0,assam,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set356,set356_kr_np_xl,set,xl,1,1099.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0233,j0233_skd_s,set,s,1,1299.0,andhra_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0346,j0346_set_xl,set,xl,1,478.0,delhi,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3781,jne3781_kr_xxxl,kurta,3xl,1,432.0,maharashtra,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,jne3518,jne3518_kr_l,kurta,l,1,487.0,chhattisgarh,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3802,jne3802_kr_m,kurta,m,1,459.0,maharashtra,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,j0335,j0335_dr_xxl,western_dress,xxl,1,859.0,chhattisgarh,False,
